STATE,num_reg_weapons
Alabama,163398
Alaska,117572
Arizona,84045
Arkansas,185776
California,358223
Colorado,100162
Connecticut,68297
Delaware,4984
Florida,377207
Georgia,203396
Hawaii,8018
Idaho,31597
Illinois,52527
Indiana,14428
Iowa,119770
Kansas,57028
Kentucky,85763
Louisiana,117356
Maine,17121
Maryland,115463
Massachusetts,40030
Michigan,71678
Minnesota,87019
Mississippi,39331
Missouri,78660
Montana,20326
Nebraska,25092
Nevada,87148
New Hampshire,59140
New Jersey,59629
New Mexico,101182
New York,78141
North Carolina,165170
North Dakota,15440
Ohio,173315
Oklahoma,74615
Oregon,66346
Pennsylvania,261765
Rhode Island,4535
South Carolina,101116
South Dakota,22847
Tennessee,107634
Texas,637612
Utah,83962
Vermont,6623
Virginia,328010
Washington,101534
West Virginia,37839
Wisconsin,73250
Wyoming,128083
