STATE,firearm_death_rate,firearm_deaths,URL,,,,,,
Alabama,16.9,815,/nchs/pressroom/states/alabama/alabama.htm,,,,,,163398
Alaska,19.2,145,/nchs/pressroom/states/alaska/alaska.htm,,,,,,117572
Arizona,13.5,927,/nchs/pressroom/states/arizona/arizona.htm,,,,,,84045
Arkansas,16.6,496,/nchs/pressroom/states/arkansas/arkansas.htm,,,,,,185776
California,7.4,"2,942",/nchs/pressroom/states/california/california.htm,,,,,,358223
Colorado,12.2,663,/nchs/pressroom/states/colorado/colorado.htm,,,,,,100162
Connecticut,5,187,/nchs/pressroom/states/connecticut/connecticut.htm,,,,,,68297
Delaware,11.1,102,/nchs/pressroom/states/delaware/delaware.htm,,,,,,4984
Florida,11.5,"2,410",/nchs/pressroom/states/florida/florida.htm,,,,,,377207
Georgia,13.7,"1,391",/nchs/pressroom/states/georgia/georgia.htm,,,,,,203396
Hawaii,2.6,40,/nchs/pressroom/states/hawaii/hawaii.htm,,,,,,8018
Idaho,13.2,213,/nchs/pressroom/states/idaho/idaho.htm,,,,,,31597
Illinois,9,"1,179",/nchs/pressroom/states/illinois/illinois.htm,,,,,,52527
Indiana,12.4,818,/nchs/pressroom/states/indiana/indiana.htm,,,,,,14428
Iowa,7.5,241,/nchs/pressroom/states/iowa/iowa.htm,,,,,,119770
Kansas,11.3,329,/nchs/pressroom/states/kansas/kansas.htm,,,,,,57028
Kentucky,13.9,634,/nchs/pressroom/states/kentucky/kentucky.htm,,,,,,85763
Louisiana,19,896,/nchs/pressroom/states/louisiana/louisiana.htm,,,,,,117356
Maine,9.4,133,/nchs/pressroom/states/maine/maine.htm,,,,,,17121
Maryland,9,546,/nchs/pressroom/states/maryland/maryland.htm,,,,,,115463
Massachusetts,3.2,226,/nchs/pressroom/states/massachusetts/massachusetts.htm,,,,,,40030
Michigan,11.1,"1,095",/nchs/pressroom/states/michigan/michigan.htm,,,,,,71678
Minnesota,6.6,377,/nchs/pressroom/states/minnesota/minnesota.htm,,,,,,87019
Mississippi,18.3,547,/nchs/pressroom/states/mississippi/mississippi.htm,,,,,,39331
Missouri,15.3,943,/nchs/pressroom/states/missouri/missouri.htm,,,,,,78660
Montana,16.1,172,/nchs/pressroom/states/montana/montana.htm,,,,,,20326
Nebraska,9.5,179,/nchs/pressroom/states/nebraska/nebraska.htm,,,,,,25092
Nevada,14.8,429,/nchs/pressroom/states/nevada/nevada.htm,,,,,,87148
New Hampshire,8.7,122,/nchs/pressroom/states/newhampshire/newhampshire.htm,,,,,,59140
New Jersey,5.3,468,/nchs/pressroom/states/newjersey/newjersey.htm,,,,,,59629
New Mexico,16,340,/nchs/pressroom/states/newmexico/newmexico.htm,,,,,,101182
New York,4.2,875,/nchs/pressroom/states/newyork/newyork.htm,,,,,,78141
North Carolina,11.8,"1,206",/nchs/pressroom/states/northcarolina/northcarolina.htm,,,,,,165170
North Dakota,12.3,96,/nchs/pressroom/states/northdakota/northdakota.htm,,,,,,15440
Ohio,10.3,"1,211",/nchs/pressroom/states/ohio/ohio.htm,,,,,,173315
Oklahoma,15.7,611,/nchs/pressroom/states/oklahoma/oklahoma.htm,,,,,,74615
Oregon,11.7,497,/nchs/pressroom/states/oregon/oregon.htm,,,,,,66346
Pennsylvania,10.5,"1,390",/nchs/pressroom/states/pennsylvania/pennsylvania.htm,,,,,,261765
Rhode Island,3,34,/nchs/pressroom/states/rhodeisland/rhodeisland.htm,,,,,,4535
South Carolina,15.5,767,/nchs/pressroom/states/southcarolina/southcarolina.htm,,,,,,101116
South Dakota,10.3,89,/nchs/pressroom/states/southdakota/southdakota.htm,,,,,,22847
Tennessee,15.1,"1,016",/nchs/pressroom/states/tenessee/tennessee.htm,,,,,,107634
Texas,10.7,"2,848",/nchs/pressroom/states/texas/texas.htm,,,,,,637612
Utah,12.3,337,/nchs/pressroom/states/utah/utah.htm,,,,,,83962
Vermont,10.3,69,/nchs/pressroom/states/vermont/vermont.htm,,,,,,6623
Virginia,10.3,889,/nchs/pressroom/states/virginia/virginia.htm,,,,,,328010
Washington,9.7,702,/nchs/pressroom/states/washington/washington.htm,,,,,,101534
West Virginia,14.6,286,/nchs/pressroom/states/westvirginia/westvirginia.htm,,,,,,37839
Wisconsin,8.2,487,/nchs/pressroom/states/wisconsin/wisconsin.htm,,,,,,73250
Wyoming,16.2,93,/nchs/pressroom/states/wyoming/wyoming.htm,,,,,,128083
