STATE,firearm_death_rate,firearm_deaths,URL
Alabama,21.5,"1,046",/nchs/pressroom/states/alabama/alabama.htm
Alaska,23.3,177,/nchs/pressroom/states/alaska/alaska.htm
Arizona,15.2,"1,094",/nchs/pressroom/states/arizona/arizona.htm
Arkansas,17.8,541,/nchs/pressroom/states/arkansas/arkansas.htm
California,7.9,"3,184",/nchs/pressroom/states/california/california.htm
Colorado,14.3,812,/nchs/pressroom/states/colorado/colorado.htm
Connecticut,4.6,172,/nchs/pressroom/states/connecticut/connecticut.htm
Delaware,11,111,/nchs/pressroom/states/delaware/delaware.htm
Florida,12.6,"2,704",/nchs/pressroom/states/florida/florida.htm
Georgia,15,"1,571",/nchs/pressroom/states/georgia/georgia.htm
Hawaii,4.5,66,/nchs/pressroom/states/hawaii/hawaii.htm
Idaho,14.6,242,/nchs/pressroom/states/idaho/idaho.htm
Illinois,11.7,"1,490",/nchs/pressroom/states/illinois/illinois.htm
Indiana,15,997,/nchs/pressroom/states/indiana/indiana.htm
Iowa,9.2,288,/nchs/pressroom/states/iowa/iowa.htm
Kansas,13.4,383,/nchs/pressroom/states/kansas/kansas.htm
Kentucky,17.5,772,/nchs/pressroom/states/kentucky/kentucky.htm
Louisiana,21.3,987,/nchs/pressroom/states/louisiana/louisiana.htm
Maine,8.3,123,/nchs/pressroom/states/maine/maine.htm
Maryland,11.9,707,/nchs/pressroom/states/maryland/maryland.htm
Massachusetts,3.4,242,/nchs/pressroom/states/massachusetts/massachusetts.htm
Michigan,12.3,"1,230",/nchs/pressroom/states/michigan/michigan.htm
Minnesota,7.6,432,/nchs/pressroom/states/minnesota/minnesota.htm
Mississippi,19.9,587,/nchs/pressroom/states/mississippi/mississippi.htm
Missouri,19,"1,144",/nchs/pressroom/states/missouri/missouri.htm
Montana,18.9,194,/nchs/pressroom/states/montana/montana.htm
Nebraska,9.1,171,/nchs/pressroom/states/nebraska/nebraska.htm
Nevada,16.8,498,/nchs/pressroom/states/nevada/nevada.htm
New Hampshire,9.3,132,/nchs/pressroom/states/newhampshire/newhampshire.htm
New Jersey,5.5,485,/nchs/pressroom/states/newjersey/newjersey.htm
New Mexico,18.1,383,/nchs/pressroom/states/newmexico/newmexico.htm
New York,4.4,900,/nchs/pressroom/states/newyork/newyork.htm
North Carolina,13.7,"1,409",/nchs/pressroom/states/northcarolina/northcarolina.htm
North Dakota,11.9,90,/nchs/pressroom/states/northdakota/northdakota.htm
Ohio,12.9,"1,524",/nchs/pressroom/states/ohio/ohio.htm
Oklahoma,19.6,766,/nchs/pressroom/states/oklahoma/oklahoma.htm
Oregon,11.9,513,/nchs/pressroom/states/oregon/oregon.htm
Pennsylvania,12,"1,555",/nchs/pressroom/states/pennsylvania/pennsylvania.htm
Rhode Island,4.1,49,/nchs/pressroom/states/rhodeisland/rhodeisland.htm
South Carolina,17.7,891,/nchs/pressroom/states/southcarolina/southcarolina.htm
South Dakota,13.4,108,/nchs/pressroom/states/southdakota/southdakota.htm
Tennessee,17.1,"1,148",/nchs/pressroom/states/tenessee/tennessee.htm
Texas,12.1,"3,353",/nchs/pressroom/states/texas/texas.htm
Utah,12.9,370,/nchs/pressroom/states/utah/utah.htm
Vermont,11.1,78,/nchs/pressroom/states/vermont/vermont.htm
Virginia,12.1,"1,049",/nchs/pressroom/states/virginia/virginia.htm
Washington,9,686,/nchs/pressroom/states/washington/washington.htm
West Virginia,17.5,332,/nchs/pressroom/states/westvirginia/westvirginia.htm
Wisconsin,11.4,664,/nchs/pressroom/states/wisconsin/wisconsin.htm
Wyoming,17.4,101,/nchs/pressroom/states/wyoming/wyoming.htm
