STATE,number of casualty,unemployment rate
Michigan,0.3337888623163649,0.8792883742396117
Missouri,0.3518961393918688,0.692053427735597
Tennessee,0.41305090536385375,0.8038858511915974
New York,0.4653228561667236,0.6664402212478963
Louisiana,0.4735223778612914,0.7649906408485634
Ohio,0.5514178339596857,0.652820810913144
Pennsylvania,0.6269217628971643,0.6451522524644334
Texas,0.7690468056030065,0.5227349675676654
Illinois,0.9952169456781688,0.7340605040045005
California,1.0,0.931334869316676
