STATE,number of casualty,number of registered guns
Michigan,0.28347578347578345,0.11241632842543742
Louisiana,0.39857549857549857,0.18405550711090757
Missouri,0.4025641025641026,0.1233665614825317
Tennessee,0.40341880341880343,0.16880798981198597
Pennsylvania,0.4478632478632479,0.4105396385262511
Ohio,0.5245014245014245,0.27181891181470863
New York,0.5652421652421652,0.12255258683964543
Texas,0.7096866096866097,1.0
California,0.8037037037037037,0.5618197273577035
Illinois,1.0,0.08238082093812538
