STATE,number of casualty,crime rate
Michigan,0.21345662010623648,0.5708955223880597
Missouri,0.2669683257918552,0.6455223880597015
Louisiana,0.3206767656895534,0.7039800995024875
Tennessee,0.3212669683257919,0.7873134328358209
New York,0.33267755262640175,0.46766169154228854
Pennsylvania,0.3493999606531576,0.39303482587064675
Ohio,0.4097973637615581,0.373134328358209
Texas,0.5758410387566398,0.5398009950248757
California,0.6218768443832382,0.5534825870646766
Illinois,1.0,0.5422885572139303
