STATE,number of casualty,suicide rate
Michigan,0.21345662010623648,0.5135135135135136
Missouri,0.2669683257918552,0.7104247104247104
Louisiana,0.3206767656895534,0.5482625482625483
Tennessee,0.3212669683257919,0.6293436293436294
New York,0.33267755262640175,0.3127413127413127
Pennsylvania,0.3493999606531576,0.5675675675675675
Ohio,0.4097973637615581,0.5482625482625483
Texas,0.5758410387566398,0.4864864864864865
California,0.6218768443832382,0.40540540540540543
Illinois,1.0,0.41312741312741313
